parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[8,8]",1.12513415546001,1.07157686858298,1.16376640969532,8,8,10,20,+ 6 %,15
"fut.lambda[25,9]",1.125149750354,1.0718002682639,1.16420948181342,25,9,2,10,+ 6 %,5
"fut.lambda[36,7]",1.12528834259747,1.07014802863124,1.16183587848867,36,7,5,30,+ 6 %,10
"fut.lambda[19,8]",1.12529411676744,1.06858693036373,1.16429563436895,19,8,14,10,+ 6 %,15
"fut.lambda[31,11]",1.12539163830024,1.07166043565725,1.16200992647116,31,11,4,10,+ 8 %,15
"fut.lambda[43,7]",1.12556890620224,1.07048153190385,1.16490929892812,43,7,8,10,+ 6 %,10
"fut.lambda[33,11]",1.12558670227997,1.07665896701956,1.1640731164741,33,11,4,30,+ 8 %,15
"fut.lambda[1,10]",1.12572297297453,1.07311919347343,1.1634753210195,1,10,0,10,+ 8 %,10
"fut.lambda[34,11]",1.12578735274692,1.07097662634697,1.16342956975261,34,11,5,10,+ 8 %,15
"fut.lambda[32,11]",1.12580249671288,1.07098924280302,1.16356308633068,32,11,4,20,+ 8 %,15
"fut.lambda[5,9]",1.1258718343751,1.07098480125459,1.1628903440118,5,9,1,20,+ 6 %,5
"fut.lambda[28,9]",1.12588955991874,1.07331479922777,1.16521085643393,28,9,3,10,+ 6 %,5
"fut.lambda[2,10]",1.12594334580537,1.07249842372816,1.16400276498028,2,10,0,20,+ 8 %,10
"fut.lambda[2,14]",1.12599261727508,1.07281237400946,1.16415760454776,2,14,0,20,+ 10 %,15
"fut.lambda[3,10]",1.125995527807,1.07421977324511,1.1638683928693,3,10,0,30,+ 8 %,10
"fut.lambda[1,14]",1.12600160115663,1.07122581040749,1.16379775378024,1,14,0,10,+ 10 %,15
"fut.lambda[37,11]",1.12602619806016,1.07287770774759,1.1638113032018,37,11,6,10,+ 8 %,15
"fut.lambda[38,7]",1.1260459207264,1.07177660001475,1.16312948861235,38,7,6,20,+ 6 %,10
"fut.lambda[27,9]",1.12609134020667,1.07408122378096,1.16393279781073,27,9,2,30,+ 6 %,5
"fut.lambda[9,8]",1.12612064793299,1.07366008443974,1.16379710141167,9,8,10,30,+ 6 %,15
"fut.lambda[22,8]",1.12615572797369,1.06979835980319,1.16437158773364,22,8,15,10,+ 6 %,15
