parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[43,18]",0.992250096159548,0.969645816468233,1.01199985217603,43,18,8,10,none,5
"fut.lambda[43,16]",0.992876979174868,0.970420816621789,1.01090687275881,43,16,8,10,none,10
"fut.lambda[46,18]",0.993088405048141,0.970864588609839,1.01201745631598,46,18,9,10,none,5
"fut.lambda[32,18]",0.993588666051863,0.971901063111087,1.01249158431986,32,18,4,20,none,5
"fut.lambda[46,16]",0.993840174178279,0.969821250594608,1.01308886826096,46,16,9,10,none,10
"fut.lambda[32,17]",0.993896085586554,0.97163791532342,1.01332074761492,32,17,4,20,none,15
"fut.lambda[32,16]",0.994063364775936,0.971020611262686,1.01272995476084,32,16,4,20,none,10
"fut.lambda[46,17]",0.994087618604618,0.971121299469976,1.01437267330182,46,17,9,10,none,15
"fut.lambda[30,17]",0.994493365913995,0.973214163350251,1.01350594628211,30,17,3,30,none,15
"fut.lambda[7,16]",0.994497992638472,0.972521962709988,1.01337654394064,7,16,10,10,none,10
"fut.lambda[30,18]",0.994578634601736,0.974142171596252,1.01283670734645,30,18,3,30,none,5
"fut.lambda[7,17]",0.994600034158303,0.9719705675582,1.0144086242543,7,17,10,10,none,15
"fut.lambda[7,18]",0.995160218820466,0.97177652095644,1.01452270835163,7,18,10,10,none,5
"fut.lambda[30,16]",0.995218378592564,0.973704480529747,1.01321561738716,30,16,3,30,none,10
"fut.lambda[10,17]",0.995328575580899,0.972868484937693,1.01533991754485,10,17,11,10,none,15
"fut.lambda[10,18]",0.995758683670864,0.971649688757875,1.01559164060179,10,18,11,10,none,5
"fut.lambda[10,16]",0.995803151076777,0.973138340133512,1.0159454901125,10,16,11,10,none,10
"fut.lambda[35,16]",0.996129509021715,0.974888741687925,1.01398260476168,35,16,5,20,none,10
"fut.lambda[35,18]",0.996168652896569,0.974299098950111,1.01416438269921,35,18,5,20,none,5
"fut.lambda[13,16]",0.99644811189931,0.974380548692191,1.01507599174046,13,16,12,10,none,10
"fut.lambda[13,18]",0.996592800946497,0.974828806945417,1.01633246459535,13,18,12,10,none,5
"fut.lambda[35,17]",0.99662017649357,0.976379687981647,1.01330609297869,35,17,5,20,none,15
"fut.lambda[13,17]",0.996728968246015,0.973811764523461,1.01436284522184,13,17,12,10,none,15
