parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[40,2]",1.00576504533145,0.985632849550639,1.02469528930785,40,2,7,10,+ 2 %,15
"fut.lambda[27,1]",1.00591080348662,0.986040590136641,1.02373618588392,27,1,2,30,+ 2 %,10
"fut.lambda[37,1]",1.00626677162378,0.98505347591579,1.02549219518243,37,1,6,10,+ 2 %,10
"fut.lambda[8,18]",1.00631629845785,0.986418780570081,1.02434481491951,8,18,10,20,none,5
"fut.lambda[8,16]",1.00648947717144,0.987651939482375,1.02513476321453,8,16,10,20,none,10
"fut.lambda[42,18]",1.0068234439126,0.988680215749633,1.02465964472601,42,18,7,30,none,5
"fut.lambda[34,3]",1.0069174554361,0.986021567771274,1.02566321241415,34,3,5,10,+ 2 %,5
"fut.lambda[43,2]",1.00699130373421,0.987633490957505,1.02688652469069,43,2,8,10,+ 2 %,15
"fut.lambda[8,17]",1.00706843286373,0.987394420119811,1.024637440646,8,17,10,20,none,15
"fut.lambda[42,17]",1.0071494828878,0.988651701735493,1.02464972474621,42,17,7,30,none,15
"fut.lambda[29,1]",1.00723320343917,0.988737997879275,1.02554336924636,29,1,3,20,+ 2 %,10
"fut.lambda[27,3]",1.00752614070314,0.988237907418365,1.02450721398367,27,3,2,30,+ 2 %,5
"fut.lambda[42,16]",1.00759513952819,0.988504203887771,1.02458757881038,42,16,7,30,none,10
"fut.lambda[37,3]",1.00783220876226,0.989253576608812,1.02655397701751,37,3,6,10,+ 2 %,5
"fut.lambda[40,1]",1.00797544042853,0.988355771043771,1.02647930282387,40,1,7,10,+ 2 %,10
"fut.lambda[29,3]",1.00819418094288,0.989280879056698,1.02676782187229,29,3,3,20,+ 2 %,5
"fut.lambda[32,2]",1.00821761709614,0.989353303304801,1.02594442782208,32,2,4,20,+ 2 %,15
"fut.lambda[11,18]",1.00825408437133,0.989622404371912,1.02623203234681,11,18,11,20,none,5
"fut.lambda[30,2]",1.00842883014854,0.989965005315656,1.02633901625544,30,2,3,30,+ 2 %,15
"fut.lambda[11,16]",1.00903258092827,0.988881457047464,1.02608006006331,11,16,11,20,none,10
"fut.lambda[43,1]",1.0090899031997,0.987430887136382,1.02733994288648,43,1,8,10,+ 2 %,10
"fut.lambda[46,2]",1.00910030266715,0.989208407681723,1.02740233604567,46,2,9,10,+ 2 %,15
"fut.lambda[11,17]",1.00931192648955,0.988648268696453,1.02706387714987,11,17,11,20,none,15
"fut.lambda[40,3]",1.00937089414076,0.987895688117404,1.02786002642704,40,3,7,10,+ 2 %,5
"fut.lambda[30,1]",1.00956261799599,0.991779185804275,1.02695786698023,30,1,3,30,+ 2 %,10
"fut.lambda[7,2]",1.00977135598667,0.989340836401043,1.02739754871787,7,2,10,10,+ 2 %,15
"fut.lambda[45,18]",1.00980873782542,0.991596014840896,1.02694305643323,45,18,8,30,none,5
"fut.lambda[32,1]",1.01000190579743,0.989827828019915,1.0270442073759,32,1,4,20,+ 2 %,10
"fut.lambda[45,17]",1.01013074929789,0.989800410680837,1.02685709066823,45,17,8,30,none,15
"fut.lambda[45,16]",1.0101944506772,0.990904467679711,1.02634897763243,45,16,8,30,none,10
"fut.lambda[46,1]",1.0101972647643,0.989372790963795,1.02955576895657,46,1,9,10,+ 2 %,10
"fut.lambda[14,17]",1.01055119883552,0.991747393694856,1.0292736561465,14,17,12,20,none,15
"fut.lambda[30,3]",1.01055603899274,0.993379146901235,1.02911588086275,30,3,3,30,+ 2 %,5
"fut.lambda[35,2]",1.01059948898041,0.990225635230552,1.02827474798414,35,2,5,20,+ 2 %,15
"fut.lambda[14,16]",1.01064867518035,0.991260600001654,1.02878729937596,14,16,12,20,none,10
"fut.lambda[2,5]",1.01070580169722,0.991599574675553,1.03033735012483,2,5,0,20,+ 4 %,15
"fut.lambda[43,3]",1.01079141378639,0.990173317277627,1.02943617575422,43,3,8,10,+ 2 %,5
"fut.lambda[10,2]",1.0109226087804,0.98998332570508,1.03109211958249,10,2,11,10,+ 2 %,15
"fut.lambda[14,18]",1.01094928809674,0.988700303224602,1.0282295307385,14,18,12,20,none,5
"fut.lambda[1,5]",1.01105961289166,0.990998057699887,1.0291456383917,1,5,0,10,+ 4 %,15
"fut.lambda[7,1]",1.01117488728605,0.990445510192947,1.03018001870726,7,1,10,10,+ 2 %,10
"fut.lambda[32,3]",1.01121186613659,0.990473895200291,1.02805265073483,32,3,4,20,+ 2 %,5
"fut.lambda[46,3]",1.01133975724405,0.990449806287741,1.03179512183472,46,3,9,10,+ 2 %,5
"fut.lambda[3,5]",1.0113536516581,0.991609677585796,1.02960906095861,3,5,0,30,+ 4 %,15
"fut.lambda[13,2]",1.01193614058651,0.991597424339539,1.03086145409313,13,2,12,10,+ 2 %,15
"fut.lambda[35,1]",1.01207582325985,0.99282325725037,1.02978539936315,35,1,5,20,+ 2 %,10
"fut.lambda[33,2]",1.0120930478824,0.992585019402223,1.02980356363842,33,2,4,30,+ 2 %,15
"fut.lambda[48,16]",1.01210023557452,0.993015719890737,1.0289472775042,48,16,9,30,none,10
"fut.lambda[48,18]",1.01230217870921,0.990530285256762,1.03029115434402,48,18,9,30,none,5
"fut.lambda[48,17]",1.01232466059206,0.994840822349032,1.02945139245399,48,17,9,30,none,15
"fut.lambda[17,16]",1.01244553120005,0.993230886161429,1.0295893339938,17,16,13,20,none,10
"fut.lambda[16,2]",1.01248838476365,0.993704567587239,1.03212878988447,16,2,13,10,+ 2 %,15
