n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
1,30,4%,5,0.948428592,0.899502317,0.985079158
4,30,2%,15,0.948440668,0.908122609,0.97913978
9,10,4%,15,0.948464833,0.89281652,0.986124596
7,20,2%,15,0.948466848,0.901028642,0.981051362
3,20,4%,15,0.948537284,0.899624507,0.984346599
7,10,4%,10,0.94858998,0.898833559,0.986718877
5,10,4%,5,0.948629444,0.895452296,0.987260397
4,30,2%,10,0.948983211,0.908472972,0.980389509
13,20,none,15,0.949124367,0.908330027,0.979796387
7,20,2%,10,0.949138769,0.902184112,0.982295119
13,20,none,5,0.949202628,0.9083281,0.979812997
13,20,none,10,0.949215003,0.908364736,0.979837683
2,30,4%,15,0.949421965,0.903277535,0.984321408
10,10,4%,15,0.94946456,0.899194532,0.98726287
2,20,4%,5,0.949857534,0.899493908,0.986666444
4,30,2%,5,0.950131687,0.908618541,0.980957974
7,20,2%,5,0.95033563,0.908122609,0.983090316
8,10,4%,10,0.950447031,0.899205918,0.988146963
7,30,none,5,0.950464552,0.914799334,0.977590287
7,30,none,10,0.950496613,0.912113321,0.977807061
7,30,none,15,0.950523691,0.914482491,0.977530187
6,10,4%,5,0.950625186,0.899194532,0.988323071
11,10,4%,15,0.950739127,0.899457279,0.988207282
8,20,2%,15,0.950800805,0.908366665,0.983188646
14,20,none,15,0.950887966,0.908725737,0.981419854
1,10,6%,15,0.950897392,0.898879007,0.990955785
3,20,4%,10,0.950901163,0.90101619,0.98734368
14,20,none,5,0.950975368,0.908676964,0.981307721
14,20,none,10,0.951022217,0.908998306,0.981394894
9,10,4%,10,0.951050767,0.899518783,0.988914339
0,30,6%,15,0.951089555,0.894686043,0.991518038
0,10,6%,15,0.95119036,0.894744196,0.991457613
0,20,6%,15,0.951208256,0.894241235,0.991526274
7,10,4%,5,0.951208256,0.899553375,0.98955391
12,10,4%,15,0.951665705,0.899778692,0.989568278
2,30,4%,10,0.951819266,0.908204878,0.986950826
8,20,2%,10,0.951877549,0.908567755,0.984189487
4,20,4%,15,0.952501942,0.908062761,0.98685553
10,10,4%,10,0.952638388,0.899789916,0.989658947
8,10,4%,5,0.952805731,0.899743791,0.990727672
8,20,2%,5,0.952805731,0.908702268,0.984968303
15,20,none,10,0.952844162,0.910750041,0.982780888
13,10,4%,15,0.952882641,0.90036834,0.990232483
5,30,2%,15,0.952892774,0.915173827,0.98254581
15,20,none,15,0.952894801,0.910641488,0.982904626
2,10,6%,15,0.952904939,0.899470872,0.992331941
15,20,none,5,0.952955675,0.911605386,0.982710206
9,20,2%,15,0.953170678,0.909667655,0.985024383
3,20,4%,5,0.953188064,0.908063334,0.989013948
11,10,4%,10,0.95345516,0.900254413,0.990962229
