capt.index,surv.index,Year,ext.prob
2,4,2034,2e-04
2,4,2035,6e-04
2,4,2036,4e-04
2,4,2037,6e-04
2,4,2038,9e-04
2,4,2039,0.0012
2,4,2040,0.0021
2,4,2041,0.0032
2,4,2042,0.0038
2,4,2043,0.0052
2,4,2044,0.007
2,4,2045,0.0089
2,4,2046,0.0112
2,4,2047,0.0141
2,4,2048,0.0171
2,4,2049,0.0231
2,5,2020,0
2,5,2021,0
2,5,2022,0
2,5,2023,0
2,5,2024,0
2,5,2025,0
2,5,2026,0
2,5,2027,0
2,5,2028,0
2,5,2029,0
2,5,2030,0
2,5,2031,0
2,5,2032,0
2,5,2033,0
2,5,2034,3e-04
2,5,2035,4e-04
2,5,2036,5e-04
2,5,2037,8e-04
2,5,2038,0.0012
2,5,2039,0.0021
2,5,2040,0.0033
2,5,2041,0.0047
2,5,2042,0.0069
2,5,2043,0.0086
2,5,2044,0.0123
2,5,2045,0.0168
2,5,2046,0.0192
2,5,2047,0.0242
2,5,2048,0.0291
2,5,2049,0.0354
2,6,2020,0
2,6,2021,0
2,6,2022,0
2,6,2023,0
2,6,2024,0
2,6,2025,0
2,6,2026,0
2,6,2027,0
2,6,2028,0
2,6,2029,0
2,6,2030,0
2,6,2031,1e-04
2,6,2032,1e-04
2,6,2033,1e-04
2,6,2034,1e-04
2,6,2035,1e-04
2,6,2036,3e-04
2,6,2037,4e-04
2,6,2038,6e-04
2,6,2039,0.001
2,6,2040,0.0012
2,6,2041,0.0021
2,6,2042,0.002
2,6,2043,0.0034
2,6,2044,0.0049
2,6,2045,0.007
2,6,2046,0.0094
2,6,2047,0.0124
2,6,2048,0.014
2,6,2049,0.017
2,7,2020,0
2,7,2021,0
2,7,2022,0
2,7,2023,0
2,7,2024,0
2,7,2025,0
2,7,2026,0
2,7,2027,0
2,7,2028,0
2,7,2029,0
2,7,2030,0
2,7,2031,0
2,7,2032,0
2,7,2033,0
2,7,2034,1e-04
2,7,2035,1e-04
2,7,2036,1e-04
2,7,2037,0
2,7,2038,3e-04
2,7,2039,3e-04
2,7,2040,3e-04
2,7,2041,5e-04
2,7,2042,4e-04
2,7,2043,6e-04
2,7,2044,0.0012
2,7,2045,0.0017
2,7,2046,0.0023
2,7,2047,0.0032
2,7,2048,0.0041
2,7,2049,0.0046
2,8,2020,0
2,8,2021,0
2,8,2022,0
2,8,2023,0
2,8,2024,0
2,8,2025,0
2,8,2026,0
2,8,2027,0
2,8,2028,0
2,8,2029,0
2,8,2030,0
2,8,2031,0
2,8,2032,2e-04
2,8,2033,2e-04
2,8,2034,2e-04
2,8,2035,3e-04
2,8,2036,3e-04
2,8,2037,4e-04
2,8,2038,8e-04
2,8,2039,8e-04
2,8,2040,9e-04
2,8,2041,0.0011
2,8,2042,0.0013
2,8,2043,0.0022
2,8,2044,0.0032
